"Taxa","HeadingDate","PlantHeight","COUNTRY.of.origin"
1190133,86,102.75,"Australia"
1190134,96,98.75,"Australia"
1190135,88,101.5,"Australia"
1190136,88,101.25,"Australia"
1190137,87,88.25,"Australia"
1190138,90.75,100.75,"Australia"
1190139,95.25,110.25,"France"
1190140,95.75,111.75,"Turkey"
1190141,91,125.5,"China"
1190142,104.25,113.5,"Morocco"
1190143,95.5,97.75,"Spain"
1190144,98,115.25,"Spain"
1190146,89.25,116,"Spain"
1190147,88,94.5,"Iraq"
1190148,109,94.75,"Australia"
1190149,96.5,111.5,"United Kingdom"
1190150,96.5,108.67,"United Kingdom"
1190151,95.5,98.25,"Portugal"
1190152,100,112,"Portugal"
1190153,85,100.75,"Portugal"
1190154,101.25,114.25,"Portugal"
1190155,97.75,104.5,"Portugal"
1190156,103.25,111.75,"Yugoslavia"
1190157,108,104,"Yugoslavia"
1190158,111.5,100,"Greece"
1190159,110.5,108.5,"Bulgaria"
1190160,105,112,"Spain"
1190161,105,109.25,"Spain"
1190162,100.75,102.25,"Spain"
1190163,96.75,113.5,"Spain"
1190165,102,113,"India"
1190166,108,103.75,"India"
1190167,95.5,93.5,"India"
1190168,91.25,115.75,"China"
1190169,90.75,109,"China"
1190170,92.75,120,"China"
1190171,108,120.75,"China"
1190172,89,118.75,"India"
1190173,91,125.75,"Australia"
1190174,87,101.5,"India"
1190175,106.5,110.5,"China"
1190176,100,85.75,"Afghanistan"
1190177,85,100.25,"Portugal"
1190178,108.33,96.25,"Yugoslavia"
1190179,103.67,94.5,"Greece"
1190180,93.5,114.75,"Spain"
1190181,117.75,99.25,"Poland"
1190182,117,80,"Poland"
1190183,93,109.25,"Poland"
1190184,93,107.5,"Poland"
1190185,115,84.75,"Italy"
1190186,105,98,"Italy"
1190187,97,114.75,"Italy"
1190188,106,92.75,"France"
1190189,100,100,"France"
1190190,92,93.75,"France"
1190191,93,75.75,"France"
1190192,102.75,98.75,"France"
1190193,100.5,99.25,"France"
1190194,99.25,111.75,"France"
1190195,101,91.5,"India"
1190196,110.75,89,""
1190197,110.25,83.5,"India"
1190198,94.25,117.25,"India"
1190199,83.25,71.25,"India"
1190200,113,82,"France"
1190201,98,115.25,"Spain"
1190202,96.25,123.5,"Spain"
1190203,110.25,87,"India"
1190204,99.5,120.25,"India"
1190205,95,119.5,"India"
1190206,96,124,"India"
1190207,94.75,104.5,"Iran"
1190208,93.75,103,"India"
1190209,79,97.25,"Egypt"
1190210,85.75,98.75,"India"
1190211,98,128,"France"
1190212,92,113.5,"Morocco"
1190213,94,114.5,"Morocco"
1190214,85,103.25,"Morocco"
1190215,85.25,101.25,"Morocco"
1190216,85.5,99.5,"Morocco"
1190217,85,97.5,"Morocco"
1190218,87,110.75,"Tunisia"
1190219,94,97.25,"Spain"
1190220,92.25,116.25,"Spain"
1190221,98.5,107,"Spain"
1190222,87,105.25,"Crete"
1190223,83,96.25,"Burma"
1190224,97.75,105.25,"China"
1190225,94.25,106.75,"Canary Islands"
1190226,89.25,107.5,"Spain"
1190227,104.75,109.75,"Spain"
1190228,96,103,"Spain"
1190229,94,108.75,"Portugal"
1190230,91,102.5,"Portugal"
1190231,110,95.25,"Hungary"
1190232,88,117.25,"India"
1190233,94,102.5,"India"
1190234,112.5,86.5,"Yugoslavia"
1190235,113.33,79.5,"Greece"
1190236,110.25,87.5,"Greece"
1190237,101.25,97.25,"Iran"
1190238,85.5,107.5,"Iran"
1190239,91,109.75,"Spain"
1190240,88,99,"Iran"
1190241,102.75,86.5,"India"
1190242,88.25,98,"India"
1190243,86.75,108.25,"India"
1190244,86,117.5,"India"
1190245,84.5,84.5,"Australia"
1190246,83,83.25,"India"
1190247,86,88.75,"India"
1190248,93.5,113.75,"India"
1190249,88,101,"India"
1190250,91,96,"China"
1190251,87,92.75,"Australia"
1190252,88,98.5,"Algeria"
1190253,88,103,"Morocco"
1190254,91.25,96,"Morocco"
1190255,94.25,96,"Tunisia"
1190256,96.75,80,"Tunisia"
1190257,91.5,87.25,"Tunisia"
1190258,89.75,95.75,"Morocco"
1190259,85,85.25,"Morocco"
1190260,87,92.25,"Canary Islands"
1190261,85,80,"Canary Islands"
1190262,85,82.5,"Canary Islands"
1190263,85,76.25,"Canary Islands"
1190264,87.75,89.5,"Canary Islands"
1190265,92,102.25,"Canary Islands"
1190266,98.5,106,"Spain"
1190267,103,97,"Spain"
1190268,103.5,106.5,"Spain"
1190269,95,117.5,"Spain"
1190270,101,94.25,"Spain"
1190271,90,103.25,"Spain"
1190272,103.75,93.5,"Spain"
1190273,87,102,"Spain"
1190274,92.5,92.75,"Spain"
1190275,101,91,"Spain"
1190276,103,84.75,"Spain"
1190277,96.25,87.25,"Spain"
1190278,89.5,60.33,"Spain"
1190279,94.75,96.25,"Spain"
1190280,85,76.75,"Spain"
1190281,88.5,94,"Greece"
1190282,93.75,102,"Greece"
1190283,90,91.25,"Greece"
1190284,94.25,100,"Greece"
1190285,94,95,"Greece"
1190286,104,79.25,"Greece"
1190287,90.75,95,"Crete"
1190288,103.25,80.5,"Crete"
1190289,87,97.25,"Crete"
1190290,85,77.75,"Crete"
1190291,88,87,"Cyprus"
1190292,85,60.75,"Cyprus"
1190293,83,78.75,"Turkey"
1190294,88,101.75,"Turkey"
1190295,85,86.5,"Turkey"
1190296,83,84.5,"Turkey"
1190297,82.5,87.5,"Turkey"
1190298,80,78.25,"Turkey"
1190299,84.5,83,"Turkey"
1190300,88,89.5,"Turkey"
1190301,101.5,97,"Turkey"
1190302,83.75,84.5,"Syria"
1190303,85,88,"Syria"
1190304,83,84,"Syria"
1190305,81,78.25,"Egypt"
1190306,82,79.75,"Iraq"
1190308,88,80.75,"Iran"
1190314,84,95,"China"
1190315,91,113,"China"
1190316,83.5,106,"China"
1190317,95.67,100,"China"
1190318,88,100.75,"China"
1190319,95.25,81.5,"China"
1190320,102.33,82,"China"
1190321,89.5,116.25,"China"
1190322,85.33,104,"China"
1190323,110.25,74.5,"China"
1190324,110.25,74.25,"China"
1190325,110,71,"United Kingdom"
1190326,83,81.25,"Australia"
1190327,85,83,"Palestine"
1190328,93.25,95,"Egypt"
1190329,117.25,73,""
1190330,120.25,75.75,"Egypt"
1190331,120.33,74.5,"Brazil"
1190332,NA,69.67,""
1190333,NA,68,""
1190334,98.5,94.25,""
1190335,104,84.75,""
1190336,113.5,91.75,"Hungary"
1190337,107,90.25,"Hungary"
1190338,107.75,96,"Hungary"
1190339,92.25,98.25,"Portugal"
1190340,103.5,93.75,"Spain"
1190341,99.75,97,"Spain"
1190342,112.5,85,"Spain"
1190343,106,101.25,"Spain"
1190344,89.75,109,"Spain"
1190345,106.75,87.25,"Bulgaria"
1190346,104.25,92.75,"Bulgaria"
1190347,107,96.25,"Bulgaria"
1190348,99,100,"Bulgaria"
1190349,99.75,105.75,"Bulgaria"
1190351,87,108.25,"Yugoslavia"
1190352,95,137.5,"Yugoslavia"
1190353,97,114,"Yugoslavia"
1190354,102.25,106.5,"Yugoslavia"
1190355,103.25,85.5,"Yugoslavia"
1190356,100,114.25,"Yugoslavia"
1190357,102.25,104.25,"Yugoslavia"
1190358,108.5,94.5,"Yugoslavia"
1190359,95,103,"Yugoslavia"
1190360,106,96.25,"Yugoslavia"
1190361,104,105.75,"Yugoslavia"
1190362,104.75,100.75,"Yugoslavia"
1190363,102.5,106.25,"Yugoslavia"
1190364,103,109,"Yugoslavia"
1190365,93.75,110.75,"Yugoslavia"
1190366,102.5,114,"Yugoslavia"
1190367,95,103.33,"Bulgaria"
1190368,101,106.25,"Yugoslavia"
1190369,101,101.5,"Yugoslavia"
1190370,95.75,109.25,"Yugoslavia"
1190371,111,100.5,"Yugoslavia"
1190372,107.25,107.75,"Yugoslavia"
1190373,96.75,111.5,"Iran"
1190374,99.5,103,"Iran"
1190375,86,96,"Iran"
1190376,98.5,89.5,"Iran"
1190377,91,107.75,"Iran"
1190378,92.5,104.25,"Iran"
1190379,88.75,96.75,"Iran"
1190380,87,102,"Iran"
1190381,99.25,97.5,"India"
1190382,106.5,109,"India"
1190383,109,107.75,"Greece"
1190384,108.75,94,"Greece"
1190386,103,110.5,"Spain"
1190387,93.5,100.75,"Spain"
1190388,88,108.25,"Spain"
1190389,90.5,110,"Portugal"
1190390,100,111.25,"Portugal"
1190391,99.25,121,"Portugal"
1190392,87,106.25,"Portugal"
1190393,89,112.25,"Portugal"
1190394,85,118.75,"Portugal"
1190395,95,108.25,"Portugal"
1190396,101.5,105.25,"Portugal"
1190397,94.75,125.25,"Portugal"
1190398,77.5,70,"Palestine"
1190399,91.25,114.25,"China"
1190400,89.75,109.75,"China"
1190401,90.75,97.25,"Portugal"
1190402,109.25,96,"Greece"
1190403,93.5,96.67,"Spain"
1190404,91.25,105.25,"Iran"
1190405,87,88.5,"Iran"
1190406,96,116.25,"India"
1190407,88,116,"India"
1190408,119,83,"India"
1190409,94,96.5,"India"
1190410,100,105,"India"
1190411,96.75,120.75,"India"
1190412,95,113,"India"
1190413,103,106.25,"India"
1190414,94.25,105.25,"India"
1190415,81.25,81.75,"India"
1190416,98.25,118,"India"
1190417,101,113,"India"
1190418,108,94.75,"India"
1190419,88,101,"India"
1190420,94,110,"India"
1190421,95,105.75,"India"
1190422,88,104.25,"India"
1190423,89.75,112,"India"
1190424,84.75,85.75,"India"
1190425,102.5,112.75,"India"
1190426,95,115.75,"India"
1190427,86,93.5,"India"
1190428,91,101.5,"India"
1190429,86,98.25,"India"
1190430,82,92.75,"India"
1190431,84.5,97.5,"India"
1190432,84,103.5,"India"
1190433,83,97,"India"
1190434,88.75,109.5,"China"
1190435,93,97,"China"
1190436,107,92.33,"China"
1190437,95.5,109,"China"
1190438,110.5,78.5,"China"
1190439,95,92.75,"China"
1190440,89.5,92.75,"China"
1190441,86,108.25,"China"
1190442,88,117.5,"China"
1190443,88.25,102.25,"China"
1190444,91.25,103.75,"China"
1190445,88,107,"China"
1190446,95,78.5,"China"
1190447,104,85,"China"
1190448,101,86.5,"Romania"
1190449,85,102.25,"Romania"
1190450,104,85,"Romania"
1190451,105,88,"Romania"
1190452,111.25,78.5,"Afghanistan"
1190453,89,93.5,"Afghanistan"
1190454,90,97,"Afghanistan"
1190455,91,96.5,"Afghanistan"
1190456,87.5,97.75,"Afghanistan"
1190457,90.75,97.5,"Afghanistan"
1190458,94.5,92.25,"Afghanistan"
1190459,94.25,100,"Afghanistan"
1190460,88.75,106,"Afghanistan"
1190461,77.5,85.5,"Afghanistan"
1190462,112.75,79.75,"Afghanistan"
1190463,85,89,"Afghanistan"
1190464,89,99.25,"Afghanistan"
1190465,80.75,80.75,"Afghanistan"
1190466,85.25,84,"Afghanistan"
1190467,87.25,89,"Afghanistan"
1190468,77,75.25,"Afghanistan"
1190469,98,99.25,"Afghanistan"
1190470,83,80.75,"Afghanistan"
1190471,85,93.75,"Afghanistan"
1190472,103.5,81.25,"Afghanistan"
1190473,81,93.25,"Afghanistan"
1190474,79,78,"Afghanistan"
1190475,87.25,96,"Afghanistan"
1190476,95,83.75,"Afghanistan"
1190477,88,89.75,"Portugal"
1190478,101,97.75,"Afghanistan"
1190479,86,91.5,"Poland"
1190481,118,76.25,"Poland"
1190482,117,74,"Poland"
1190483,89,106,"Poland"
1190484,88,104.25,"Italy"
1190485,94.67,99,"Algeria"
1190486,101,108.75,"USSR"
1190487,109,100.25,"USSR"
1190488,106.5,97.5,"USSR"
1190489,109,97.25,"USSR"
1190490,102.5,117.5,"France"
1190491,102.5,117,"France"
1190492,96,108.25,"Spain"
1190493,91,122.25,"Tunisia"
1190494,93.5,105.5,"Spain"
1190495,88,94.25,"Morocco"
1190496,88,99.5,"Morocco"
1190497,87.75,108.5,"Morocco"
1190498,88,109.75,"Turkey"
1190499,92,100,"Turkey"
1190500,108,81,"Iraq"
1190501,100.5,101.5,"Iraq"
1190502,100.25,102.25,"Burma"
1190503,80,81.33,"Burma"
1190504,94,104.25,"China"
1190505,90.5,113,"Iran"
1190506,89,106.75,"Iran"
1190507,94,106.5,"Australia"
1190508,98.33,101,"Greece"
1190509,87,112.5,"Portugal"
1190510,87.75,102.5,"Portugal"
1190511,93.5,122.25,"India"
1190512,89.25,106.75,"India"
1190513,96,111.25,"Iran"
1190514,85.67,106.33,"Iran"
1190515,88,93.75,"Iran"
1190516,81.5,105.75,"India"
1190517,86.5,96.25,"India"
1190518,95,76,"India"
1190519,89.75,118.5,"India"
1190520,85.25,96,"India"
1190521,114.5,77,"India"
1190522,92.75,89,"India"
1190523,93.75,105,"India"
1190524,89.25,89.75,"India"
1190525,93.5,126.5,"India"
1190526,94.33,116,"India"
1190527,86,102.25,"India"
1190528,84.5,111.25,"China"
1190529,95.25,107,"Afghanistan"
1190530,99,105.5,"Afghanistan"
1190531,94,112.5,"Spain"
1190532,84.5,104,"Tunisia"
1190533,92.5,104,"Morocco"
1190534,87,102.67,"Morocco"
1190536,87,99.33,"Morocco"
1190537,88.75,109,"Tunisia"
1190538,88.75,120.5,"Tunisia"
1190539,88,105.25,"Spain"
1190540,97.25,119.5,"Spain"
1190541,94.75,106.25,"Spain"
1190542,99,109.75,"Spain"
1190543,99.5,98,"Spain"
1190544,99,116.5,"Spain"
1190545,96.75,121.5,"Spain"
1190546,89,119.5,"Spain"
1190547,89,103.25,"Spain"
1190548,104,104.25,"Spain"
1190549,98,111.75,"Spain"
1190550,106.75,104,"Spain"
1190551,95.5,118.75,"Spain"
1190552,89,96,"Canary Islands"
1190553,92,111.75,"Canary Islands"
1190554,89.75,95.25,"Canary Islands"
1190555,90.25,87.5,"Spain"
1190556,91.75,98,"Canary Islands"
1190557,96.25,104,"Canary Islands"
1190558,95.5,102.75,"Canary Islands"
1190559,87,101.67,"Spain"
1190560,88,109.5,"Greece"
1190561,85.25,96,"Crete"
1190562,88.25,111.75,"Greece"
1190563,85,112.25,"Crete"
1190564,87,110.75,"Greece"
1190565,87.25,113.5,"Greece"
1190566,86,103.5,"Greece"
1190567,87,120,"Greece"
1190568,87.25,105.25,"China"
1190569,87,116.25,"Greece"
1190570,88,108.5,"Greece"
1190571,87,106,"Turkey"
1190572,85.25,107,"Syria"
1190573,85,91.25,"Turkey"
1190574,89.25,114,"Turkey"
1190575,89.5,112,"Iran"
1190576,88,105.25,"Iran"
1190577,90,113,"Iran"
1190578,101,116,"Iran"
1190579,88.25,117,"Iran"
1190580,87,110.25,"Iran"
1190581,89,112.25,"Iran"
1190582,96.5,112.25,"China"
1190583,87,114.75,"China"
1190584,89.75,115.75,"China"
1190585,90,110.75,"China"
1190586,96.75,89,"China"
1190587,85,103,"China"
1190588,86.25,112.25,"China"
1190589,88,116.25,"China"
1190590,87.5,81.5,"Portugal"
1190591,92,117,"Portugal"
1190592,87,121.25,"Portugal"
1190593,85,110.5,"Portugal"
1190594,86.5,95.25,"Portugal"
1190595,87,112,"Portugal"
1190596,89,96.5,"Portugal"
1190597,86.75,117.75,"Portugal"
1190598,86.75,116.5,"Portugal"
1190599,86.75,119.25,"Portugal"
1190600,105,112.75,"Spain"
1190601,88,111,"Spain"
1190602,106,116.25,"Spain"
1190603,95,121,"Spain"
1190604,92.5,100.67,"Spain"
1190605,97.5,102.75,"Greece"
1190606,100.5,108.25,"Greece"
1190607,90.5,121,"Yugoslavia"
1190608,101,103.25,"Yugoslavia"
1190609,98.25,110.75,"Yugoslavia"
1190610,107,98.75,"Yugoslavia"
1190611,106,107.5,"Yugoslavia"
1190612,96.5,120,"Yugoslavia"
1190613,103.75,103.25,"Yugoslavia"
1190614,105,113.67,"Yugoslavia"
1190615,107,113.33,"Yugoslavia"
1190616,120.75,107,"Yugoslavia"
1190617,102.75,115.75,"Yugoslavia"
1190618,103.75,113.5,"Yugoslavia"
1190619,101,108.25,"Yugoslavia"
1190620,104,105.5,"Yugoslavia"
1190621,108.75,106.25,"Bulgaria"
1190622,110,93.25,"Bulgaria"
1190623,99.5,103.75,"Bulgaria"
1190624,110.75,75,"Bulgaria"
1190625,82.25,99,"Iran"
1190626,83,106.75,"Iran"
1190627,89,104.25,"Iran"
1190628,99.75,103.5,"Iran"
1190629,92.75,100.5,"Iran"
1190630,89,111,"Iran"
1190631,96,120.67,"Iran"
1190632,94.5,122.25,"Iran"
1190633,99.33,106.25,"India"
1190634,104,110.5,"Hungary"
1190635,91.25,112.25,"Hungary"
1190636,103.5,101,"Tunisia"
1190637,106.25,105.75,"Turkey"
1190638,86,112.25,"Crete"
1190639,92.25,125.25,"Crete"
1190640,87,90.5,"Iran"
1190641,86.5,121.25,"India"
1190642,90.75,95.25,"India"
1190643,97,97,"India"
1190644,97.5,91.75,"India"
1190645,93.5,93,"India"
1190646,81.25,89.5,"India"
1190647,95.75,91.5,"China"
1190648,87,122.5,"China"
1190649,91.25,94.5,"China"
1190650,94,104.5,"China"
1190651,113,81.25,"China"
1190652,105.25,100.75,"China"
1190653,88.75,116.25,"China"
1190654,101.67,105,"China"
1190655,91,104.75,"China"
1190656,92,105.5,"China"
1190657,99.5,103.25,"China"
1190658,100,103.75,"China"
1190659,96.25,98.25,"China"
1190660,99.5,101,"China"
1190661,98.75,99.25,"USSR"
1190662,102.5,98.75,"Romania"
1190663,119,78.25,"Romania"
1190667,91,101,"Afghanistan"
1190668,99.25,105,"Yugoslavia"
1190670,94.33,121,"Poland"
1190671,98.75,110.5,"USSR"
1190672,NA,89.25,"Poland"
1190673,88,112.5,"USSR"
1190674,89,111,"Iraq"
1190675,96,117.25,"Tunisia"
1190676,101.25,93.5,"Tunisia"
1190677,108.25,93,"Spain"
1190678,88.5,104,"Iran"
1190679,92.75,108.75,"Iran"
1190680,97,112,"Italy"
1190681,94,107,"Iran"
1190682,88,113,"Crete"
1190683,105,96.25,"Spain"
1190684,94.25,97,"Iran"
1190685,88.75,98.75,"Spain"
1190686,85,101.25,"Morocco"
1190687,86,97.75,"Tunisia"
1190688,101,96.5,"Spain"
1190689,86,87.5,"Spain"
1190690,87,87.75,"Greece"
1190691,86,91.5,"Greece"
1190692,84.5,93.25,"India"
1190693,85.75,100.5,"Iraq"
1190694,91,98,"India"
1190695,88,90.25,"China"
1190696,81.25,78,"India"
1190697,86.5,77,"India"
1190698,88.75,107.5,"China"
1190699,91,107.5,"China"
1190700,87,100.75,"China"
1190701,81.67,102.67,"Iran"
1190702,92.25,91.5,"Iran"
1190703,95.25,97,"China"
1190704,95,94.75,"Iran"
1190705,81.25,90.5,"Iran"
1190706,85.5,87.75,"India"
1190707,84,95,"India"
1190708,82.5,66.5,"India"
1190710,106,79.75,"India"
1190711,87,88.75,"India"
1190712,97.75,77.75,"India"
1190713,83.5,76.75,"India"
1190714,83.5,84.5,"India"
1190715,93.5,92,"India"
1190716,86,89.75,"India"
1190717,86,88.75,"China"
1190718,88.75,110.25,"China"
1190719,87,92.5,"China"
1190720,92.25,110.5,"China"
1190721,92.75,98.75,"China"
1190722,89,82,"China"
1190723,88,97.75,"Afghanistan"
1190724,97.5,67.75,"India"
1190725,101.75,96.25,"China"
1190726,84.25,92,"China"
1190727,95.25,100.75,"China"
1190728,92.5,71.5,"Iraq"
1190729,79,58.25,"Iran"
1190730,121.5,49.5,"India"
1190731,86.25,85.5,"India"
1190732,83.25,69.5,"India"
1190733,94.25,110,"Iran"
1190734,97.5,100.25,"USSR"
1190735,88,80.75,"Algeria"
1190736,105.25,44.5,"USSR"
1190737,90.75,90.75,"Italy"
1190738,90.5,97,"USSR"
1190739,91,105.5,"India"
1190740,90,94,"USSR"
1190741,87,96.5,"Afghanistan"
1190742,86,98,"Algeria"
1190743,94,111.25,"USSR"
1190744,107.33,73.5,"India"
1190745,87.25,89,"USSR"
1190746,87,90.5,"USSR"
1190747,102.25,97,"Ethiopia"
1190748,107.5,96.75,"USSR"
1190749,90.25,98.25,"USSR"
1190750,104.75,80.5,"USSR"
1190751,114.75,65.25,"USSR"
1190752,85,95.25,"USSR"
1190753,111,72,"USSR"
1190754,121,61.67,"USSR"
1190755,94,71.75,"USSR"
1190756,110.75,83.75,"Italy"
1190757,116,79.25,"Italy"
1190758,101.67,86.33,"Italy"
1190759,103.25,83.25,"USSR"
1190760,94,110.5,"USSR"
1190761,94,104.25,"USSR"
1190762,91,85,"Algeria"
1190763,101.25,85.5,"India"
1190764,106.75,99.75,"India"
1190765,102.75,100.33,"USSR"
1190766,116,84.25,"Algeria"
1190767,96,103,"USSR"
1190768,89,100,"India"
1190769,87.75,100.5,"Algeria"
1190770,84,93,"USSR"
1190771,91,94.5,"USSR"
1190772,98.5,81.75,"USSR"
1190773,95.75,95,"USSR"
1190774,90.25,107.75,"Ethiopia"
1190775,103,101.75,"USSR"
1190776,89,83.25,"USSR"
1190777,88,90.5,"Finland"
1190778,89.75,107,"Italy"
1190779,107,93,"USSR"
1190780,113,86.5,"USSR"
1190781,124,99,"USSR"
1190782,116.33,87.33,"USSR"
1190783,106,106.75,"USSR"
1190784,90.25,98,"Italy"
1190786,95,131,"USSR"
1190787,95,123.5,"USSR"
1190788,93.75,139.75,"USSR"
1190789,95.5,115.25,"USSR"
1190790,96,124,"USSR"
1190792,94,121.67,"USSR"
1190793,95.25,120,"USSR"
1190794,92.75,101.75,"USSR"
1190795,128.25,103.75,"USSR"
1190796,111.75,82.75,"USSR"
1190797,97.75,138,"USSR"
1190798,96.25,135.5,"USSR"
1190799,103.75,119.25,"USSR"
1190800,115.5,83,"USSR"
1190801,118.5,76.33,"USSR"
1190802,96.5,110,"USSR"
1190803,87,105.25,"India"
1190804,95,88,"USSR"
1190805,92.5,96,"USSR"
1190806,94.5,89.25,"Italy"
1190807,102,109,"USSR"
1190808,98,112.33,"USSR"
1190809,99,86.25,"USSR"
1190810,100,79.75,"USSR"
1190811,88,92.75,"Tunisia"
1190812,87,102.5,"China"
1190813,90.25,109.5,"India"
1190814,92,110,"Tunisia"
1190815,105,82,""
1190816,95.5,82.75,"Italy"
1190817,91.75,101,"China"
1190818,90,96.75,"China"
1190819,89.67,105.33,"China"
1190820,90,104,"China"
1190821,89,100.5,"China"
1190822,90,105.25,"China"
1190823,85,88.25,"China"
1190824,89,119.25,"China"
1190825,92.25,117.75,"China"
1190826,92.25,102,"China"
1190827,92,110.75,"China"
1190828,91.5,99.75,"China"
1190829,90.25,103.5,"China"
1190903,86.5,102.75,"India"
1190904,92,103.25,"Spain"
1190912,106.25,93,"Hungary"
