"Taxa","PlantHeight","COUNTRY.of.origin"
1190521,77,"India"
1190522,89,"India"
1190523,105,"India"
1190524,89.75,"India"
1190525,126.5,"India"
1190526,116,"India"
1190527,102.25,"India"
1190528,111.25,"China"
1190529,107,"Afghanistan"
1190530,105.5,"Afghanistan"
1190531,112.5,"Spain"
1190532,104,"Tunisia"
1190533,104,"Morocco"
1190534,102.67,"Morocco"
1190536,99.33,"Morocco"
1190537,109,"Tunisia"
1190538,120.5,"Tunisia"
1190539,105.25,"Spain"
1190540,119.5,"Spain"
1190541,106.25,"Spain"
1190542,109.75,"Spain"
1190543,98,"Spain"
1190544,116.5,"Spain"
1190545,121.5,"Spain"
1190546,119.5,"Spain"
1190547,103.25,"Spain"
1190548,104.25,"Spain"
1190549,111.75,"Spain"
1190550,104,"Spain"
1190551,118.75,"Spain"
1190552,96,"Canary Islands"
1190553,111.75,"Canary Islands"
1190554,95.25,"Canary Islands"
1190555,87.5,"Spain"
1190556,98,"Canary Islands"
1190557,104,"Canary Islands"
1190558,102.75,"Canary Islands"
1190559,101.67,"Spain"
1190560,109.5,"Greece"
1190561,96,"Crete"
1190562,111.75,"Greece"
1190563,112.25,"Crete"
1190564,110.75,"Greece"
1190565,113.5,"Greece"
1190566,103.5,"Greece"
1190567,120,"Greece"
1190568,105.25,"China"
1190569,116.25,"Greece"
1190570,108.5,"Greece"
1190571,106,"Turkey"
1190572,107,"Syria"
1190573,91.25,"Turkey"
1190574,114,"Turkey"
1190575,112,"Iran"
1190576,105.25,"Iran"
1190577,113,"Iran"
1190578,116,"Iran"
1190579,117,"Iran"
1190580,110.25,"Iran"
1190581,112.25,"Iran"
1190582,112.25,"China"
1190583,114.75,"China"
1190584,115.75,"China"
1190585,110.75,"China"
1190586,89,"China"
1190587,103,"China"
1190588,112.25,"China"
1190589,116.25,"China"
1190590,81.5,"Portugal"
1190591,117,"Portugal"
1190592,121.25,"Portugal"
1190593,110.5,"Portugal"
1190594,95.25,"Portugal"
1190595,112,"Portugal"
1190596,96.5,"Portugal"
1190597,117.75,"Portugal"
1190598,116.5,"Portugal"
1190599,119.25,"Portugal"
1190600,112.75,"Spain"
1190601,111,"Spain"
1190602,116.25,"Spain"
1190603,121,"Spain"
1190604,100.67,"Spain"
1190605,102.75,"Greece"
1190606,108.25,"Greece"
1190607,121,"Yugoslavia"
1190608,103.25,"Yugoslavia"
1190609,110.75,"Yugoslavia"
1190610,98.75,"Yugoslavia"
1190611,107.5,"Yugoslavia"
1190612,120,"Yugoslavia"
1190613,103.25,"Yugoslavia"
1190614,113.67,"Yugoslavia"
1190615,113.33,"Yugoslavia"
1190616,107,"Yugoslavia"
1190617,115.75,"Yugoslavia"
1190618,113.5,"Yugoslavia"
1190619,108.25,"Yugoslavia"
1190620,105.5,"Yugoslavia"
1190621,106.25,"Bulgaria"
1190622,93.25,"Bulgaria"
1190623,103.75,"Bulgaria"
1190624,75,"Bulgaria"
1190625,99,"Iran"
1190626,106.75,"Iran"
1190627,104.25,"Iran"
1190628,103.5,"Iran"
1190629,100.5,"Iran"
1190630,111,"Iran"
1190631,120.67,"Iran"
1190632,122.25,"Iran"
1190633,106.25,"India"
1190634,110.5,"Hungary"
1190635,112.25,"Hungary"
1190636,101,"Tunisia"
1190637,105.75,"Turkey"
1190638,112.25,"Crete"
1190639,125.25,"Crete"
1190640,90.5,"Iran"
1190641,121.25,"India"
1190642,95.25,"India"
1190643,97,"India"
1190644,91.75,"India"
1190645,93,"India"
1190646,89.5,"India"
1190647,91.5,"China"
1190648,122.5,"China"
1190649,94.5,"China"
1190650,104.5,"China"
1190651,81.25,"China"
1190652,100.75,"China"
1190653,116.25,"China"
1190654,105,"China"
1190655,104.75,"China"
1190656,105.5,"China"
1190657,103.25,"China"
1190658,103.75,"China"
1190659,98.25,"China"
1190660,101,"China"
1190661,99.25,"USSR"
1190662,98.75,"Romania"
1190663,78.25,"Romania"
1190667,101,"Afghanistan"
1190668,105,"Yugoslavia"
1190670,121,"Poland"
1190671,110.5,"USSR"
1190672,89.25,"Poland"
1190673,112.5,"USSR"
1190674,111,"Iraq"
1190675,117.25,"Tunisia"
1190676,93.5,"Tunisia"
1190677,93,"Spain"
1190678,104,"Iran"
1190679,108.75,"Iran"
1190680,112,"Italy"
1190681,107,"Iran"
1190682,113,"Crete"
1190683,96.25,"Spain"
1190684,97,"Iran"
1190685,98.75,"Spain"
1190686,101.25,"Morocco"
1190687,97.75,"Tunisia"
1190688,96.5,"Spain"
1190689,87.5,"Spain"
1190690,87.75,"Greece"
1190691,91.5,"Greece"
1190692,93.25,"India"
1190693,100.5,"Iraq"
1190694,98,"India"
1190695,90.25,"China"
1190696,78,"India"
1190697,77,"India"
1190698,107.5,"China"
1190699,107.5,"China"
1190700,100.75,"China"
1190701,102.67,"Iran"
1190702,91.5,"Iran"
1190703,97,"China"
1190704,94.75,"Iran"
1190705,90.5,"Iran"
1190706,87.75,"India"
1190707,95,"India"
1190708,66.5,"India"
1190710,79.75,"India"
1190711,88.75,"India"
1190712,77.75,"India"
1190713,76.75,"India"
1190714,84.5,"India"
1190715,92,"India"
1190716,89.75,"India"
1190717,88.75,"China"
1190718,110.25,"China"
1190719,92.5,"China"
1190720,110.5,"China"
1190721,98.75,"China"
1190722,82,"China"
1190723,97.75,"Afghanistan"
1190724,67.75,"India"
1190725,96.25,"China"
1190726,92,"China"
1190727,100.75,"China"
1190728,71.5,"Iraq"
1190729,58.25,"Iran"
1190730,49.5,"India"
1190731,85.5,"India"
1190732,69.5,"India"
1190733,110,"Iran"
1190734,100.25,"USSR"
1190735,80.75,"Algeria"
1190736,44.5,"USSR"
1190737,90.75,"Italy"
1190738,97,"USSR"
1190739,105.5,"India"
1190740,94,"USSR"
1190741,96.5,"Afghanistan"
1190742,98,"Algeria"
1190743,111.25,"USSR"
1190744,73.5,"India"
1190745,89,"USSR"
1190746,90.5,"USSR"
1190747,97,"Ethiopia"
1190748,96.75,"USSR"
1190749,98.25,"USSR"
1190750,80.5,"USSR"
1190751,65.25,"USSR"
1190752,95.25,"USSR"
1190753,72,"USSR"
1190754,61.67,"USSR"
1190755,71.75,"USSR"
1190756,83.75,"Italy"
1190757,79.25,"Italy"
1190758,86.33,"Italy"
1190759,83.25,"USSR"
1190760,110.5,"USSR"
1190761,104.25,"USSR"
1190762,85,"Algeria"
1190763,85.5,"India"
1190764,99.75,"India"
1190765,100.33,"USSR"
1190766,84.25,"Algeria"
1190767,103,"USSR"
1190768,100,"India"
1190769,100.5,"Algeria"
1190770,93,"USSR"
1190771,94.5,"USSR"
1190772,81.75,"USSR"
1190773,95,"USSR"
1190774,107.75,"Ethiopia"
1190775,101.75,"USSR"
1190776,83.25,"USSR"
1190777,90.5,"Finland"
1190778,107,"Italy"
1190779,93,"USSR"
1190780,86.5,"USSR"
1190781,99,"USSR"
1190782,87.33,"USSR"
1190783,106.75,"USSR"
1190784,98,"Italy"
1190786,131,"USSR"
1190787,123.5,"USSR"
1190788,139.75,"USSR"
1190789,115.25,"USSR"
1190790,124,"USSR"
1190792,121.67,"USSR"
1190793,120,"USSR"
1190794,101.75,"USSR"
1190795,103.75,"USSR"
1190796,82.75,"USSR"
1190797,138,"USSR"
1190798,135.5,"USSR"
1190799,119.25,"USSR"
1190800,83,"USSR"
1190801,76.33,"USSR"
1190802,110,"USSR"
1190803,105.25,"India"
1190804,88,"USSR"
1190805,96,"USSR"
1190806,89.25,"Italy"
1190807,109,"USSR"
1190808,112.33,"USSR"
1190809,86.25,"USSR"
1190810,79.75,"USSR"
1190811,92.75,"Tunisia"
1190812,102.5,"China"
1190813,109.5,"India"
1190814,110,"Tunisia"
1190815,82,""
1190816,82.75,"Italy"
1190817,101,"China"
1190818,96.75,"China"
1190819,105.33,"China"
1190820,104,"China"
1190821,100.5,"China"
1190822,105.25,"China"
1190823,88.25,"China"
1190824,119.25,"China"
1190825,117.75,"China"
1190826,102,"China"
1190827,110.75,"China"
1190828,99.75,"China"
1190829,103.5,"China"
1190903,102.75,"India"
1190904,103.25,"Spain"
1190912,93,"Hungary"
